,INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO,geocode_result
562,28328-2,AV  DOS EXPEDICIONARIOS 4703  PARREÃO FORTALEZA - CE CEP:60410305,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '4703', 'short_name': '4703', 'types': ['street_number']}, {'long_name': 'Avenida dos Expedicionários', 'short_name': 'Av. dos Expedicionários', 'types': ['route']}, {'long_name': 'Fátima', 'short_name': 'Fátima', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60410-302', 'short_name': '60410-302', 'types': ['postal_code']}], 'formatted_address': 'Av. dos Expedicionários, 4703 - Fátima, Fortaleza - CE, 60410-302, Brazil', 'geometry': {'location': {'lat': -3.759807399999999, 'lng': -38.5394567}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.758458419708497, 'lng': -38.5381077197085}, 'southwest': {'lat': -3.761156380291502, 'lng': -38.5408056802915}}}, 'place_id': 'EkBBdi4gZG9zIEV4cGVkaWNpb27DoXJpb3MsIDQ3MDMgLSBGw6F0aW1hLCBGb3J0YWxlemEgLSBDRSwgQnJhemlsIhsSGQoUChIJcz-zUTBJxwcROYC4ppDboREQ3yQ', 'types': ['street_address']}]"
563,66697-1,R  LIBERATO BARROSO 971  14 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '971', 'short_name': '971', 'types': ['street_number']}, {'long_name': 'Rua Liberato Barroso', 'short_name': 'R. Liberato Barroso', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60030-160', 'short_name': '60030-160', 'types': ['postal_code']}], 'formatted_address': 'R. Liberato Barroso, 971 - Centro, Fortaleza - CE, 60030-160, Brazil', 'geometry': {'location': {'lat': -3.726152799999999, 'lng': -38.53591400000001}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.724803819708498, 'lng': -38.53456501970851}, 'southwest': {'lat': -3.727501780291502, 'lng': -38.53726298029151}}}, 'place_id': 'EkRSLiBMaWJlcmF0byBCYXJyb3NvLCA5NzEgLSBDZW50cm8sIEZvcnRhbGV6YSAtIENFLCA2MDAzMC0xNjAsIEJyYXppbCIbEhkKFAoSCRGXmduvSccHEd4pLLsnU_inEMsH', 'types': ['street_address']}]"
564,80542-4,R NAT FEIJO 388  CARLITO PAMPLONA FORTALEZA - CE CEP:60326220,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Rua Nat Feijo, 885', 'short_name': 'Rua Nat Feijo, 885', 'types': ['establishment', 'point_of_interest', 'transit_station']}, {'long_name': 'Monte Castelo', 'short_name': 'Monte Castelo', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60326-220', 'short_name': '60326-220', 'types': ['postal_code']}], 'formatted_address': 'Rua Nat Feijo, 885 - Monte Castelo, Fortaleza - CE, 60326-220, Brazil', 'geometry': {'location': {'lat': -3.721348, 'lng': -38.556996}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.719999019708498, 'lng': -38.5556470197085}, 'southwest': {'lat': -3.722696980291502, 'lng': -38.55834498029149}}}, 'place_id': 'ChIJW4arlpFJxwcRLKrVix_HWgk', 'types': ['establishment', 'point_of_interest', 'transit_station']}]"
565,94482-3,R DOM QUINTINO 650  PIRAMBÚ FORTALEZA - CE CEP:60310520,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '650', 'short_name': '650', 'types': ['street_number']}, {'long_name': 'Rua Dom Quintino', 'short_name': 'R. Dom Quintino', 'types': ['route']}, {'long_name': 'Pirambu', 'short_name': 'Pirambu', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60310-520', 'short_name': '60310-520', 'types': ['postal_code']}], 'formatted_address': 'R. Dom Quintino, 650 - Pirambu, Fortaleza - CE, 60310-520, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7105975, 'lng': -38.55499930000001}, 'southwest': {'lat': -3.7108801, 'lng': -38.55519839999999}}, 'location': {'lat': -3.7107542, 'lng': -38.5551162}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.709389819708498, 'lng': -38.5537498697085}, 'southwest': {'lat': -3.712087780291502, 'lng': -38.5564478302915}}}, 'place_id': 'ChIJ-bIK4-5JxwcROci74lMVA_I', 'types': ['premise']}]"
566,132930-8,R  1 DE MAIO (BONSUCESSO) 2612  GRANJA PORTUGAL FORTALEZA - CE CEP:60541312,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Igreja Evangélica Assembléia de Deus em', 'short_name': 'Igreja Evangélica Assembléia de Deus em', 'types': ['establishment', 'point_of_interest']}, {'long_name': '2612', 'short_name': '2612', 'types': ['street_number']}, {'long_name': 'Rua Primeiro de Maio', 'short_name': 'Rua Primeiro de Maio', 'types': ['route']}, {'long_name': 'Granja Portugal', 'short_name': 'Granja Portugal', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60541-312', 'short_name': '60541-312', 'types': ['postal_code']}], 'formatted_address': 'Igreja Evangélica Assembléia de Deus em - Rua Primeiro de Maio, 2612 - Granja Portugal, Fortaleza - CE, 60541-312, Brazil', 'geometry': {'location': {'lat': -3.7782576, 'lng': -38.6047114}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.776908619708498, 'lng': -38.6033624197085}, 'southwest': {'lat': -3.779606580291502, 'lng': -38.6060603802915}}}, 'place_id': 'ChIJ400xRGdMxwcRWLpncQhh9ec', 'plus_code': {'compound_code': '69CW+M4 Granja Portugal, Fortaleza - State of Ceará, Brazil', 'global_code': '698369CW+M4'}, 'types': ['street_address']}]"
567,199162-0,R  PARANA 715  DEMÓCRITO ROCHA FORTALEZA - CE CEP:60440104,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '715', 'short_name': '715', 'types': ['street_number']}, {'long_name': 'Rua Paraná', 'short_name': 'R. Paraná', 'types': ['route']}, {'long_name': 'Demócrito Rocha', 'short_name': 'Demócrito Rocha', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60440-104', 'short_name': '60440-104', 'types': ['postal_code']}], 'formatted_address': 'R. Paraná, 715 - Demócrito Rocha, Fortaleza - CE, 60440-104, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7583341, 'lng': -38.56871080000001}, 'southwest': {'lat': -3.7585355, 'lng': -38.56895}}, 'location': {'lat': -3.7584437, 'lng': -38.56881630000001}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.757085819708498, 'lng': -38.5674814197085}, 'southwest': {'lat': -3.759783780291502, 'lng': -38.5701793802915}}}, 'place_id': 'ChIJOcT-1FdJxwcRV3aL9CtC3t0', 'types': ['premise']}]"
568,66690-4,R  LIBERATO BARROSO 973  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '973', 'short_name': '973', 'types': ['street_number']}, {'long_name': 'Rua Liberato Barroso', 'short_name': 'R. Liberato Barroso', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60030-160', 'short_name': '60030-160', 'types': ['postal_code']}], 'formatted_address': 'R. Liberato Barroso, 973 - Centro, Fortaleza - CE, 60030-160, Brazil', 'geometry': {'location': {'lat': -3.7261484, 'lng': -38.53592769999999}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.724799419708498, 'lng': -38.53457871970849}, 'southwest': {'lat': -3.727497380291503, 'lng': -38.53727668029149}}}, 'place_id': 'EkRSLiBMaWJlcmF0byBCYXJyb3NvLCA5NzMgLSBDZW50cm8sIEZvcnRhbGV6YSAtIENFLCA2MDAzMC0xNjAsIEJyYXppbCIbEhkKFAoSCRGXmduvSccHEd4pLLsnU_inEM0H', 'types': ['street_address']}]"
569,473776-8,R  ALBERTO FERREIRA 689  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '689', 'short_name': '689', 'types': ['street_number']}, {'long_name': 'Rua Alberto Ferreira', 'short_name': 'R. Alberto Ferreira', 'types': ['route']}, {'long_name': 'Jardim Iracema', 'short_name': 'Jardim Iracema', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60341-140', 'short_name': '60341-140', 'types': ['postal_code']}], 'formatted_address': 'R. Alberto Ferreira, 689 - Jardim Iracema, Fortaleza - CE, 60341-140, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7232879, 'lng': -38.5829844}, 'southwest': {'lat': -3.7234118, 'lng': -38.5832553}}, 'location': {'lat': -3.7233375, 'lng': -38.583108}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.722000869708498, 'lng': -38.58177086970851}, 'southwest': {'lat': -3.724698830291502, 'lng': -38.58446883029151}}}, 'place_id': 'ChIJSTHknTBKxwcRkXNJNFoGdRA', 'types': ['premise']}]"
570,242015-5,R COM GARCIA 730  A VILA PERY FORTALEZA - CE CEP:60730155,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '730', 'short_name': '730', 'types': ['street_number']}, {'long_name': 'Rua Comendador Garcia', 'short_name': 'Rua Comendador Garcia', 'types': ['route']}, {'long_name': 'Vila Peri', 'short_name': 'Vila Peri', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60730-155', 'short_name': '60730-155', 'types': ['postal_code']}], 'formatted_address': 'Rua Comendador Garcia, 730 - Vila Peri, Fortaleza - CE, 60730-155, Brazil', 'geometry': {'location': {'lat': -3.791128, 'lng': -38.581273}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.789779019708498, 'lng': -38.57992401970849}, 'southwest': {'lat': -3.792476980291502, 'lng': -38.58262198029149}}}, 'place_id': 'ChIJoQCTuzFMxwcRmXOZr5SXJ94', 'plus_code': {'compound_code': '6C59+GF Vila Peri, Fortaleza - State of Ceará, Brazil', 'global_code': '69836C59+GF'}, 'types': ['street_address']}]"
571,66675-0,R  LIBERATO BARROSO 1001  102 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1001', 'short_name': '1001', 'types': ['street_number']}, {'long_name': 'Rua Liberato Barroso', 'short_name': 'R. Liberato Barroso', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60030-160', 'short_name': '60030-160', 'types': ['postal_code']}], 'formatted_address': 'R. Liberato Barroso, 1001 - Centro, Fortaleza - CE, 60030-160, Brazil', 'geometry': {'location': {'lat': -3.726087499999999, 'lng': -38.5361194}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.724738519708497, 'lng': -38.53477041970849}, 'southwest': {'lat': -3.727436480291502, 'lng': -38.53746838029149}}}, 'place_id': 'EkVSLiBMaWJlcmF0byBCYXJyb3NvLCAxMDAxIC0gQ2VudHJvLCBGb3J0YWxlemEgLSBDRSwgNjAwMzAtMTYwLCBCcmF6aWwiGxIZChQKEgkRl5nbr0nHBxHeKSy7J1P4pxDpBw', 'types': ['street_address']}]"
572,252330-2,R  ANTONIO TEIXEIRA LEITE (ITAPERI) 832  SERRINHA FORTALEZA - CE CEP:60742820,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '832', 'short_name': '832', 'types': ['street_number']}, {'long_name': 'Rua Antônio Teixeira Leite', 'short_name': 'R. Antônio Teixeira Leite', 'types': ['route']}, {'long_name': 'Serrinha', 'short_name': 'Serrinha', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60742-815', 'short_name': '60742-815', 'types': ['postal_code']}], 'formatted_address': 'R. Antônio Teixeira Leite, 832 - Serrinha, Fortaleza - CE, 60742-815, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7881285, 'lng': -38.5384857}, 'southwest': {'lat': -3.7882935, 'lng': -38.5387194}}, 'location': {'lat': -3.7882178, 'lng': -38.5386232}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.786862019708497, 'lng': -38.5372535697085}, 'southwest': {'lat': -3.789559980291502, 'lng': -38.5399515302915}}}, 'place_id': 'ChIJ_X_Kc-9OxwcRbeSIC4nSE5U', 'types': ['premise']}]"
573,66671-8,R  LIBERATO BARROSO 997  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '997', 'short_name': '997', 'types': ['street_number']}, {'long_name': 'Rua Liberato Barroso', 'short_name': 'R. Liberato Barroso', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60030-160', 'short_name': '60030-160', 'types': ['postal_code']}], 'formatted_address': 'R. Liberato Barroso, 997 - Centro, Fortaleza - CE, 60030-160, Brazil', 'geometry': {'location': {'lat': -3.726096199999999, 'lng': -38.536092}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.724747219708497, 'lng': -38.5347430197085}, 'southwest': {'lat': -3.727445180291502, 'lng': -38.5374409802915}}}, 'place_id': 'EkRSLiBMaWJlcmF0byBCYXJyb3NvLCA5OTcgLSBDZW50cm8sIEZvcnRhbGV6YSAtIENFLCA2MDAzMC0xNjAsIEJyYXppbCIbEhkKFAoSCRGXmduvSccHEd4pLLsnU_inEOUH', 'types': ['street_address']}]"
574,116966-1,R  ROSINHA SAMPAIO 2183  VILA VELHA FORTALEZA - CE CEP:60345662,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '2183', 'short_name': '2183', 'types': ['street_number']}, {'long_name': 'Rua Rosinha Sampaio', 'short_name': 'R. Rosinha Sampaio', 'types': ['route']}, {'long_name': 'Jardim Guanabara', 'short_name': 'Jardim Guanabara', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60346-251', 'short_name': '60346-251', 'types': ['postal_code']}], 'formatted_address': 'R. Rosinha Sampaio, 2183 - Jardim Guanabara, Fortaleza - CE, 60346-251, Brazil', 'geometry': {'location': {'lat': -3.7242203, 'lng': -38.5979378}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.722871319708497, 'lng': -38.5965888197085}, 'southwest': {'lat': -3.725569280291502, 'lng': -38.59928678029149}}}, 'place_id': 'Ek5SLiBSb3NpbmhhIFNhbXBhaW8sIDIxODMgLSBKYXJkaW0gR3VhbmFiYXJhLCBGb3J0YWxlemEgLSBDRSwgNjAzNDYtMjUxLCBCcmF6aWwiGxIZChQKEgkx6uCkT0rHBxFdUBKCs7JK1BCHEQ', 'types': ['street_address']}]"
575,157992-4,R  CARLOS ARAUJO 230  QUINTINO CUNHA FORTALEZA - CE CEP:60351010,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '230', 'short_name': '230', 'types': ['street_number']}, {'long_name': 'Rua Carlos Araújo', 'short_name': 'R. Carlos Araújo', 'types': ['route']}, {'long_name': 'Quintino Cunha', 'short_name': 'Quintino Cunha', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60351-010', 'short_name': '60351-010', 'types': ['postal_code']}], 'formatted_address': 'R. Carlos Araújo, 230 - Quintino Cunha, Fortaleza - CE, 60351-010, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.729006999999999, 'lng': -38.5897489}, 'southwest': {'lat': -3.7292163, 'lng': -38.5900609}}, 'location': {'lat': -3.7291203, 'lng': -38.58989400000001}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.727762669708498, 'lng': -38.5885559197085}, 'southwest': {'lat': -3.730460630291502, 'lng': -38.5912538802915}}}, 'place_id': 'ChIJRxijfzVKxwcRHpBk5jZWxpQ', 'types': ['premise']}]"
576,91703-6,R  COELHO DA FONSECA 467  ÁLVARO WEYNE FORTALEZA - CE CEP:60335050,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '467', 'short_name': '467', 'types': ['street_number']}, {'long_name': 'Rua Coelho da Fonseca', 'short_name': 'Rua Coelho da Fonseca', 'types': ['route']}, {'long_name': 'Cristo Redentor', 'short_name': 'Cristo Redentor', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60335-050', 'short_name': '60335-050', 'types': ['postal_code']}], 'formatted_address': 'Rua Coelho da Fonseca, 467 - Cristo Redentor, Fortaleza - CE, 60335-050, Brazil', 'geometry': {'location': {'lat': -3.712039799999999, 'lng': -38.561582}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.710690819708498, 'lng': -38.56023301970851}, 'southwest': {'lat': -3.713388780291502, 'lng': -38.5629309802915}}}, 'place_id': 'ChIJiSfHe_FJxwcRJnPZGlybOo8', 'plus_code': {'compound_code': '7CQQ+59 Cristo Redentor, Fortaleza - CE, Brazil', 'global_code': '69837CQQ+59'}, 'types': ['street_address']}]"
577,119049-0,AV  WASHINGTON LUIZ 623  VILA VELHA FORTALEZA - CE CEP:60347110,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '623', 'short_name': '623', 'types': ['street_number']}, {'long_name': 'Avenida Washington Luiz', 'short_name': 'Av. Washington Luiz', 'types': ['route']}, {'long_name': 'Jardim Guanabara', 'short_name': 'Jardim Guanabara', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60347-110', 'short_name': '60347-110', 'types': ['postal_code']}], 'formatted_address': 'Av. Washington Luiz, 623 - Jardim Guanabara, Fortaleza - CE, 60347-110, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7162044, 'lng': -38.5942774}, 'southwest': {'lat': -3.7165106, 'lng': -38.59443419999999}}, 'location': {'lat': -3.7163696, 'lng': -38.5943629}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.715008519708498, 'lng': -38.59300681970849}, 'southwest': {'lat': -3.717706480291502, 'lng': -38.59570478029149}}}, 'place_id': 'ChIJYxjsm0FKxwcRjnQdXneBQYg', 'types': ['premise']}]"
578,66691-2,R  LIBERATO BARROSO 977  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '977', 'short_name': '977', 'types': ['street_number']}, {'long_name': 'Rua Liberato Barroso', 'short_name': 'R. Liberato Barroso', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60030-160', 'short_name': '60030-160', 'types': ['postal_code']}], 'formatted_address': 'R. Liberato Barroso, 977 - Centro, Fortaleza - CE, 60030-160, Brazil', 'geometry': {'location': {'lat': -3.7261397, 'lng': -38.53595500000001}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.724790719708497, 'lng': -38.53460601970851}, 'southwest': {'lat': -3.727488680291502, 'lng': -38.53730398029151}}}, 'place_id': 'EkRSLiBMaWJlcmF0byBCYXJyb3NvLCA5NzcgLSBDZW50cm8sIEZvcnRhbGV6YSAtIENFLCA2MDAzMC0xNjAsIEJyYXppbCIbEhkKFAoSCRGXmduvSccHEd4pLLsnU_inENEH', 'types': ['street_address']}]"
579,107816-0,R  FRANCISCO CALACA 1523  ÁLVARO WEYNE FORTALEZA - CE CEP:60336045,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1523', 'short_name': '1523', 'types': ['street_number']}, {'long_name': 'Rua Francisco Calaça', 'short_name': 'R. Francisco Calaça', 'types': ['route']}, {'long_name': 'Cristo Redentor', 'short_name': 'Cristo Redentor', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60337-387', 'short_name': '60337-387', 'types': ['postal_code']}], 'formatted_address': 'R. Francisco Calaça, 1523 - Cristo Redentor, Fortaleza - CE, 60337-387, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7150172, 'lng': -38.5730028}, 'southwest': {'lat': -3.7151823, 'lng': -38.5732676}}, 'location': {'lat': -3.7150885, 'lng': -38.5731226}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.713750769708497, 'lng': -38.57178621970851}, 'southwest': {'lat': -3.716448730291502, 'lng': -38.57448418029151}}}, 'place_id': 'ChIJCRj9Qh9KxwcRrGUU1aYxQ7w', 'types': ['premise']}]"
580,191567-3,R  LUCIANO QUEIROS 141  HENRIQUE JORGE FORTALEZA - CE CEP:60510176,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '141', 'short_name': '141', 'types': ['street_number']}, {'long_name': 'Rua Luciano Queiroz', 'short_name': 'Rua Luciano Queiroz', 'types': ['route']}, {'long_name': 'Henrique Jorge', 'short_name': 'Henrique Jorge', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60020-181', 'short_name': '60020-181', 'types': ['postal_code']}], 'formatted_address': 'Rua Luciano Queiroz, 141 - Henrique Jorge, Fortaleza - CE, 60020-181, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7591452, 'lng': -38.5789452}, 'southwest': {'lat': -3.7593132, 'lng': -38.579123}}, 'location': {'lat': -3.7592292, 'lng': -38.5790341}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.757880219708498, 'lng': -38.5776851197085}, 'southwest': {'lat': -3.760578180291503, 'lng': -38.5803830802915}}}, 'place_id': 'ChIJPXLKDfpLxwcR4cXE67bRPro', 'types': ['premise']}]"
