,inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
629,226581-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FILADELFIA-MIN FILADELF,R  CLAUDIO MANOEL 429  PICI FORTALEZA - CE CEP:60440570,Evangélicas,-3.7495779,-38.5719251,Pici,Pici,106
630,125701-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE INESGOTAVEL,R  CONSOLACAO 725  JARDIM IRACEMA FORTALEZA - CE CEP:60341360,Evangélicas,-3.7243923,-38.5847894,Jardim Iracema,Jardim Iracema,21
631,125702-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE INESGOTAVEL,R  CONSOLACAO 719  JARDIM IRACEMA FORTALEZA - CE CEP:60341360,Evangélicas,-3.724359,-38.5847882,Jardim Iracema,Jardim Iracema,21
632,563647-7,IGREJA EVANGELICA ASSMBLEIA DE DEUS DE BOM JESUS,R  BOM JESUS 2030  GRANJA LISBOA FORTALEZA - CE CEP:60540255,Evangélicas,-3.7907353,-38.6118051,Granja Lisboa,Granja Lisboa,78
633,500052-1,IGREJA EVANGELICA BETEL PARA AS NACOES,R  LIVIO BARRETO   L008 Q034 DIONÍSIO TORRES FORTALEZA - CE CEP:60130110,Evangélicas,-3.7503615,-38.5093949,Dionísio Torres,Dionísio Torres,14
634,218347-1,IGREJA EVANGELICA RENOVADA DO BRASIL,R  HUMBERTO LOMEU 1229  Q078 GRANJA PORTUGAL FORTALEZA - CE CEP:60541112,Evangélicas,-3.782008299999999,-38.6027401,Granja Portugal,Granja Portugal,79
635,66945-8,IGREJA EVANGELICA TABERNACULO DA FE,R PDE MORORO 985  CENTRO FORTALEZA - CE CEP:60015220,Evangélicas,-3.72539,-38.5372486,Centro,Centro,10
636,275767-2,IGREJA EVANGELICA TABERNACULO DE ADORADORES,R  BOTELHO MAGALHAES 48  CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60822485,Evangélicas,-3.796246,-38.4913572,Cambeba,Cidade dos Funcionários,54
637,535834-5,IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,AV DOM MANUEL 1063  A CENTRO FORTALEZA - CE CEP:60060091,Evangélicas,-3.7333928,-38.5226207,Centro,Centro,10
638,17229-4,IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,AV DOM MANUEL 1063  CENTRO FORTALEZA - CE CEP:60060091,Evangélicas,-3.7333928,-38.5226207,Centro,Centro,10
640,308733-6,IGREJA FUNDAMENTALISTA CRISTO E VIDA,R  BELEM (NOEL ROSA) 32  DOM LUSTOSA FORTALEZA - CE CEP:60526185,Evangélicas,-3.754042699999999,-38.5788331,Henrique Jorge,Pici,106
641,18049-1,IGREJA MESSIANICA MUNDIAL DO BRASIL,R DONA LEOPOLDINA 564  CENTRO FORTALEZA - CE CEP:60110000,Evangélicas,-3.7300578,-38.5193556,Centro,Centro,10
642,274026-5,IGREJA NOVA APOSTOLICA BRASIL,AV GAL OSORIO DE PAIVA 5096  BOM JARDIM FORTALEZA - CE CEP:60731534,Católica Apostólica Romana,-3.802925799999999,-38.6009837,Bom Jardim,Bom Jardim,72
643,65544-9,IGREJA PENTECOSTAL DEUS E AMOR,R  TERESA CRISTINA 950  CENTRO FORTALEZA - CE CEP:60015140,Evangélicas,-3.7288355,-38.537464,Centro,Centro,10
644,307480-3,IGREJA PENTECOSTAL DEUS E AMOR,R  TERESA CRISTINA 944  CENTRO FORTALEZA - CE CEP:60015140,Evangélicas,-3.7287452,-38.5374361,Centro,Centro,10
645,177100-0,IGREJA PRESBITERIANA DA AEROLANDIA,R CAP OLAVO 1001  AEROLÂNDIA FORTALEZA - CE CEP:60850685,Evangélicas,-3.770941,-38.5145942,Aerolândia,Aerolândia,91
646,31620-2,IGREJA PRESBITERIANA DA ALDEOTA,R  CAROLINA SUCUPIRA 93  ALDEOTA FORTALEZA - CE CEP:60140120,Evangélicas,-3.740276199999999,-38.5021967,Aldeota,Aldeota,2
647,47608-0,IGREJA PRESBITERIANA DE FORTALEZA,AV  FELINO BARROSO 641  FÁTIMA FORTALEZA - CE CEP:60050130,Evangélicas,-3.748470599999999,-38.5278102,Fátima,Fátima,16
648,70752-0,IGREJA PRESBITERIANA DE FORTALEZA,AV VIS DO RIO BRANCO 1636  CENTRO FORTALEZA - CE CEP:60055170,Evangélicas,-3.7353115,-38.524527,Centro,Centro,10
649,166315-1,IGREJA PRESBITERIANA DE MARAPONGA,AV  GODOFREDO MACIEL 681  A PARANGABA FORTALEZA - CE CEP:60710001,Evangélicas,-3.782244399999999,-38.5653789,Parangaba,Parangaba,105
650,5211-6,IGREJA PRESBITERIANA DE MONTE CASTELO,R PDE FROTA 766  SÃO GERARDO FORTALEZA - CE CEP:60325160,Evangélicas,-3.7314993,-38.5491472,Monte Castelo,São Gerardo,1
651,5214-0,IGREJA PRESBITERIANA DE MONTE CASTELO,R PDE FROTA 788  SÃO GERARDO FORTALEZA - CE CEP:60325160,Evangélicas,-3.7317087,-38.5490857,Monte Castelo,São Gerardo,1
652,14763-0,IGREJA PRESBITERIANA DO BRASIL EM JARDIM AMERICA IPBJA,R  JULIO CESAR 593  JARDIM AMÉRICA FORTALEZA - CE CEP:60410505,Evangélicas,-3.7493303,-38.541957,Jardim América,Jardim América,19
653,515581-9,IGREJA PRESBITERIANA DO CONJ J. WALTER,R  41 (CONJ. RESID. PREF. JOSE WALTER) 511  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750550,Evangélicas,-3.833418399999999,-38.558725,Prefeito José Walter,Prefeito José Walter,89
654,234857-8,IGREJA PRESBITERIANA INDEP DE HEN JORGE,AV  AUDIZIO PINHEIRO 365  DOM LUSTOSA FORTALEZA - CE CEP:60526025,Evangélicas,-3.756105,-38.587259,Dom Lustosa,Dom Lustosa,43
655,557877-9,IGREJA PRESBITERIANA NOVA JERUSALEM,AV  NILA GOMES DE SOAREZ 155  MANUEL DIAS BRANCO FORTALEZA - CE CEP:60190630,Evangélicas,-3.7511145,-38.4678977,Cidade 2000,Manuel Dias Branco,112
656,15963-8,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,R  WALDERY UCHOA 655  GALPAO BENFICA FORTALEZA - CE CEP:60020110,Evangélicas,-3.7457625,-38.5403897,Benfica,Benfica,7
657,303683-9,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,R DES FROTA 215  PARQUE SÃO JOSÉ FORTALEZA - CE CEP:60730270,Evangélicas,-3.796194299999999,-38.5881865,Parque São José,Parque São José,86
