,inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
251,260193-1,COLEGIO SANTO INACIO,R PDE FRANCISCO PITA 1392  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60821050,Católica Apostólica Romana,-3.7839862,-38.4932618,Jardim Das Oliveiras,Engenheiro Luciano Cavalcante,58
252,426169-0,COMBONIANOS NORDESTE,R  MATOS VASCONCELLOS 1591  BELA VISTA FORTALEZA - CE CEP:60442103,Católica Apostólica Romana,-3.7573071,-38.5558594,Damas,Bela Vista,94
253,30710-6,COMUNIDADE CATOLICA MISSIONARIA UM NOVO CAMINHO,R  NUNES VALENTE 2160  DIONÍSIO TORRES FORTALEZA - CE CEP:60125071,Católica Apostólica Romana,-3.743344,-38.5061239,Dionísio Torres,Dionísio Torres,14
254,802169-4,COMUNIDADE CATOLICA SHALOM,R  MARIA TOMASIA 72  B ALDEOTA FORTALEZA - CE CEP:60150170,Católica Apostólica Romana,-3.7343748,-38.5013508,Aldeota,Aldeota,2
255,19908-7,COMUNIDADE CATOLICA SHALOM,R  MARIA TOMASIA 72  ALDEOTA FORTALEZA - CE CEP:60150170,Católica Apostólica Romana,-3.7343748,-38.5013508,Aldeota,Aldeota,2
256,802168-6,COMUNIDADE CATOLICA SHALOM,R  MARIA TOMASIA 72  A ALDEOTA FORTALEZA - CE CEP:60150170,Católica Apostólica Romana,-3.7343748,-38.5013508,Aldeota,Aldeota,2
257,197900-0,COMUNIDADE CATOLICA VEU DE MARIA PARA JESUS,R  LUIS DE CASTRO 390  BONSUCESSO FORTALEZA - CE CEP:60520485,Católica Apostólica Romana,-3.7777652,-38.5786588,Bonsucesso,Bonsucesso,73
258,700043-0,COMUNIDADE CRISTA PEDRA ANGULAR,R  HONORINO MAIA 77  PARQUE SANTA MARIA FORTALEZA - CE CEP:60873000,Evangélicas,-3.8505311,-38.5014231,Ancuri,Parque Santa Maria,102
259,180117-1,COMUNIDADE EVANGELICA TEMPLO DOS PRINCIPES,R CAP ARAGAO 427  ALTO DA BALANÇA FORTALEZA - CE CEP:60851150,Evangélicas,-3.7649593,-38.5144916,Aerolândia,Alto da Balança,93
260,676591-2,COMUNIDADE EVANGELICA VERDADEIROS ADORADORES,AV  EDILSON BRASIL SOARES 1181  PARQUE MANIBURA FORTALEZA - CE CEP:60834005,Evangélicas,-3.7888177,-38.4756902,Edson Queiroz,Edson Queiroz,57
261,50771-7,CONFERENCIA DOS RELIGIOSOS DO BRASIL,R MAJ FACUNDO 1621  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60025101,Católica Apostólica Romana,-3.7371025,-38.5308628,Centro,José Bonifácio,23
262,48403-2,CONFERENCIA NACIONAL DOS BISPOS DO BRASIL,AV  FELINO BARROSO 405  FÁTIMA FORTALEZA - CE CEP:60050130,Católica Apostólica Romana,-3.7461725,-38.5280564,Fátima,Fátima,16
263,319284-9,CONGREGACAO CRISTA NO BRASIL,R  DAS PEDRINHAS (GENIBAU) 1211  GENIBAÚ FORTALEZA - CE CEP:60534030,Evangélicas,-3.7581727,-38.5995937,Genibaú,Genibaú,44
264,188822-6,CONGREGACAO CRISTA NO BRASIL,R  ANTONIO IVO 1438  JOÃO XXIII FORTALEZA - CE CEP:60525280,Evangélicas,-3.7684603,-38.58580070000001,João XXIII,João XXIII,46
265,177418-2,CONGREGACAO CRISTA NO BRASIL,R TEN WILSON 179  A ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,Evangélicas,-3.7696462,-38.5154556,Aerolândia,Alto da Balança,93
266,723745-6,CONGREGACAO CRISTA NO BRASIL,R PAT SAMUEL MUNGUBA 1000  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430372,Evangélicas,-3.7474824,-38.549578,Rodolfo Teófilo,Rodolfo Teófilo,34
267,304203-0,CONGREGACAO CRISTA NO BRASIL,R  CODO 125  JANGURUSSU FORTALEZA - CE CEP:60870430,Evangélicas,-3.847592,-38.521463,Jangurussu,Conjunto Palmeiras,117
268,8668-1,CONGREGACAO CRISTA NO BRASIL,R PASTOR SAMUEL MUNGUBA 1000  A RODOLFO TEÓFILO FORTALEZA - CE CEP:60430372,Evangélicas,-3.7474824,-38.549578,Rodolfo Teófilo,Rodolfo Teófilo,34
269,123140-5,CONGREGACAO CRISTA NO BRASIL,R  ALBERTO FERREIRA 1513  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,Evangélicas,-3.7278556,-38.5836907,Jardim Iracema,Jardim Iracema,21
270,472479-8,CONGREGACAO CRISTA NO BRASIL,R DR JOAO AMORA 541  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,Evangélicas,-3.8001498,-38.5792739,Manuel Sátiro,Manoel Sátiro,81
271,354109-6,CONGREGACAO CRISTA NO BRASIL,AV  MOZART PINHEIRO DE LUCENA 2705  QUINTINO CUNHA FORTALEZA - CE CEP:60352645,Evangélicas,-3.7283684,-38.5983858,Vila Velha,Quintino Cunha,48
272,309530-4,CONGREGACAO CRISTA NO BRASIL,R  ANTONIO IVO 1440  JOÃO XXIII FORTALEZA - CE CEP:60525280,Evangélicas,-3.768689,-38.58567499999999,João XXIII,João XXIII,46
273,415150-0,CONGREGACAO CRISTA NO BRASIL,R  LUIZA MIRANDA COELHO 200  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811110,Evangélicas,-3.7720156,-38.4949269,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
274,294505-3,CONGREGACAO CRISTA NO BRASIL,R DR JOAO AMORA 647  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,Evangélicas,-3.8000353,-38.5793762,Manuel Sátiro,Manoel Sátiro,81
275,914158-8,CONGREGACAO CRISTA NO BRASIL,R  RIBEIRAO NOVO 137  BARRA DO CEARÁ FORTALEZA - CE CEP:60331780,Evangélicas,-3.706716,-38.5773401,Barra do Ceará,Barra do Ceará,6
276,188785-8,CONGREGACAO CRISTA NO BRASIL,R  NOEL ROSA 1801  JOÃO XXIII FORTALEZA - CE CEP:60525310,Evangélicas,-3.7683826,-38.58623590000001,Henrique Jorge,João XXIII,46
277,281966-0,CONGREGACAO CRISTA NO BRASIL,R  TRAJANO DE MORAIS 1010  PASSARÉ FORTALEZA - CE CEP:60861710,Evangélicas,-3.8177923,-38.5257001,Passaré,Passaré,88
278,271621-6,CONGREGACAO CRISTA NO BRASIL,AV TEN JOSE NEWTON 513  MESSEJANA FORTALEZA - CE CEP:60841250,Evangélicas,-3.8270294,-38.4918415,Messejana,Messejana,65
279,296920-3,CONGREGACAO CRISTA NO BRASIL,R TEN MATIAS PEIXOTO 120  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60760090,Evangélicas,-3.8363204,-38.5623695,Prefeito José Walter,Prefeito José Walter,89
280,211998-6,CONGREGACAO CRISTA NO BRASIL,R  EDSON MARTINS 910  GRANJA LISBOA FORTALEZA - CE CEP:60543454,Evangélicas,-3.7900923,-38.5999615,Bom Jardim,Bom Jardim,72
281,177419-0,CONGREGACAO CRISTA NO BRASIL,R TEN WILSON 179  ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,Evangélicas,-3.7696462,-38.5154556,Aerolândia,Alto da Balança,93
282,301559-9,CONGREGACAO DAS FILHAS DE SANTA TERESA DE JESUS,R MAD ANA COUTO 147  MESSEJANA FORTALEZA - CE CEP:60842390,Católica Apostólica Romana,-3.8177303,-38.4993343,Messejana,Messejana,65
283,70731-7,CONGREGAÇÃO DAS FILHAS DO CORAÇÃO IMACULADO DE MARIA,R COS TRISTAO 73  CENTRO FORTALEZA - CE CEP:60050100,Católica Apostólica Romana,-3.7350783,-38.5251914,Centro,Centro,10
284,8328-3,CONGREGACAO DAS IRMANZINHAS DA IMACULADA CONCEICAO,R MAJ WEYNE 1624  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450,Sem Definição,-3.7409708,-38.5527056,Rodolfo Teófilo,Rodolfo Teófilo,34
286,3559-9,CONGREGACAO DAS IRMAS DE SANTA ELISABETE,R  VINICIUS DE MORAES 100  SÃO GERARDO FORTALEZA - CE CEP:60325120,Católica Apostólica Romana,-3.7314261,-38.5554649,São Gerardo,São Gerardo,1
287,254552-7,CONGREGACAO DAS IRMAS DOS ANJOS,R CON LIMA SUCUPIRA 609  SERRINHA FORTALEZA - CE CEP:60741255,Católica Apostólica Romana,-3.778279999999999,-38.551089,Serrinha,Serrinha,107
288,397225-9,CONGREGACAO DAS IRMAS MISSIONARIAS DA IMACULADA CONCEICAO,AV PRO JOSE ARTHUR DE CARVALHO 1250  LAGOA REDONDA FORTALEZA - CE CEP:60831370,Católica Apostólica Romana,-3.827445099999999,-38.4684728,Lagoa Redonda,Lagoa Redonda,63
289,20735-7,CONGREGACAO DAS MISSIONARIAS REPARADORAS DO C DE JESUS,R MON BRUNO 751  MEIRELES FORTALEZA - CE CEP:60115190,Católica Apostólica Romana,-3.7290783,-38.5082908,Meireles,Meireles,24
290,208994-7,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,R  RIO GRANDE DO SUL 1728  JÓQUEI CLUBE FORTALEZA - CE CEP:60440214,Católica Apostólica Romana,-3.76317,-38.57032,Jóquei Clube,Jóquei Clube,101
291,208903-3,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,R  RIO GRANDE DO SUL 1837  JÓQUEI CLUBE FORTALEZA - CE CEP:60440214,Católica Apostólica Romana,-3.7640585,-38.5708084,Jóquei Clube,Jóquei Clube,101
292,209011-2,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,R  RIO GRANDE DO SUL 142  JÓQUEI CLUBE FORTALEZA - CE CEP:60441145,Católica Apostólica Romana,-3.7502982,-38.5619472,Bela Vista,Bela Vista,94
293,150090-2,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,R  SILVIO ROMERO 370  FLORESTA FORTALEZA - CE CEP:60336100,Católica Apostólica Romana,-3.7212726,-38.5718317,Álvaro Weyne,Floresta,17
294,150091-0,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,R  SILVIO ROMERO 370  FLORESTA FORTALEZA - CE CEP:60336100,Católica Apostólica Romana,-3.7212726,-38.5718317,Álvaro Weyne,Floresta,17
295,142768-7,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,AV DR THEBERGE 2288  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60355000,Católica Apostólica Romana,-3.724536,-38.56881630000001,Presidente Kennedy,Presidente Kennedy,33
296,13160-1,CONGREGACAO EVANGELICA LUTERANA ESPERANNCA,R  CARLOS CAMARA 1638  DAMAS FORTALEZA - CE CEP:60425810,Evangélicas,-3.7498343,-38.5458445,Benfica,Damas,13
297,551007-4,CONGREGACAO FILHAS DE SANTA ANA,R PDE PEDRO DE ALENCAR 781  MESSEJANA FORTALEZA - CE CEP:60840282,Católica Apostólica Romana,-3.8344484,-38.4938722,Messejana,Messejana,65
298,297684-6,CONGREGACAO PENIEL DE FORTALEZA,R  ALZIRA PARENTE 380  LAGOA REDONDA FORTALEZA - CE CEP:60000000,Outras religiosidades,-3.826968399999999,-38.4546425,Lagoa Redonda,Lagoa Redonda,63
299,50987-6,CONGREGACAO PENIEL DE FORTALEZA,R  DA ASSUNCAO 939  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050011,Outras religiosidades,-3.7382995,-38.5296364,José Bonifacio,José Bonifácio,23
300,210265-0,CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,R  TRES DE MAIO 1299  BELA VISTA FORTALEZA - CE CEP:60442202,Católica Apostólica Romana,-3.7484481,-38.5653153,Bela Vista,Bela Vista,94
301,8585-5,CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,R  FRANCISCA CLOTILDE 680  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7434977,-38.5539061,Rodolfo Teófilo,Rodolfo Teófilo,34
302,30457-3,CONSELHO CENTRAL DE FORTALEZA DA SOC DE S VICENTE DE PAULO,R DOM EXPEDITO LOPES 2104  DIONÍSIO TORRES FORTALEZA - CE CEP:60764000,Católica Apostólica Romana,-3.743853,-38.5052843,Joaquim Távora (Fortaleza),Dionísio Torres,14
303,128877-6,CONSELHO COMUNITARIO JARDIM GUANABARA,R  CARLOS WALRAVEN 367  JARDIM GUANABARA FORTALEZA - CE CEP:60346672,Católica Apostólica Romana,-3.719938299999999,-38.59214900000001,Jardim Guanabara,Jardim Guanabara,20
304,328490-5,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,AV DOM LUIS 350  ALDEOTA FORTALEZA - CE CEP:60160196,Católica Apostólica Romana,-3.7332031,-38.4981623,Meireles,Aldeota,2
305,451723-7,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,R VIS DE MAUA 415  ALDEOTA FORTALEZA - CE CEP:60125160,Católica Apostólica Romana,-3.728871,-38.4968429,Meireles,Meireles,24
306,489390-5,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,AV DOM LUIS 348  ALDEOTA FORTALEZA - CE CEP:60160196,Católica Apostólica Romana,-3.7330991,-38.498287,Meireles,Aldeota,2
307,455014-5,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,R VIS DE MAUA 823  ALDEOTA FORTALEZA - CE CEP:60125058,Católica Apostólica Romana,-3.7331676,-38.4983853,Meireles,Aldeota,2
308,489389-1,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,AV DOM LUIS 334  ALDEOTA FORTALEZA - CE CEP:60160196,Católica Apostólica Romana,-3.7331031,-38.4983602,Meireles,Aldeota,2
309,7856-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 839  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7447644,-38.5546778,Rodolfo Teófilo,Rodolfo Teófilo,34
310,51159-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  SOLON PINHEIRO 1045  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050041,Católica Apostólica Romana,-3.739496999999999,-38.5293262,Centro,José Bonifácio,23
311,14927-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  GRIJALVA COSTA 113  JARDIM AMÉRICA FORTALEZA - CE CEP:60410437,Católica Apostólica Romana,-3.7514147,-38.5409903,Jardim América,Jardim América,19
312,43898-7,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2027  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-3.7333784,-38.541388,José Bonifacio,Farias Brito,15
313,51167-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  SOLON PINHEIRO 1017  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050041,Católica Apostólica Romana,-3.7392594,-38.5291263,Centro,José Bonifácio,23
314,43900-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2019  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-3.7333949,-38.5413141,José Bonifacio,Farias Brito,15
315,51139-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 28  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7375094,-38.5352093,Benfica,Benfica,7
316,51155-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 1031  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-3.7396647,-38.5289589,José Bonifacio,José Bonifácio,23
317,7845-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1460  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-3.7452059,-38.55467180000001,Rodolfo Teófilo,Rodolfo Teófilo,34
318,7854-9,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 849  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7448235,-38.5547307,Rodolfo Teófilo,Rodolfo Teófilo,34
319,51146-3,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 499  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-3.738796,-38.5314634,Benfica,José Bonifácio,23
320,51153-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 12  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7373707,-38.5354576,Benfica,Benfica,7
321,51202-8,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R BAR DE ARATANHA 760  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050071,Católica Apostólica Romana,-3.7395225,-38.5286926,José Bonifacio,José Bonifácio,23
322,51204-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R BAR DE ARATANHA 764  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050071,Católica Apostólica Romana,-3.7395606,-38.5287233,José Bonifacio,José Bonifácio,23
323,7848-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1468  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-3.7451201,-38.554722,Rodolfo Teófilo,Rodolfo Teófilo,34
324,10554-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  TEODORETO SOUTO 1150  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430730,Católica Apostólica Romana,-3.7393712,-38.5452576,Rodolfo Teófilo,Rodolfo Teófilo,34
325,51136-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 20  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7374066,-38.535324,Benfica,Benfica,7
326,122859-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R PRC DE NASSAU 22  FLORESTA FORTALEZA - CE CEP:60340095,Católica Apostólica Romana,-3.7287938,-38.5806247,Jardim Iracema,Floresta,17
327,93161-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  VICENTE SABOIA 140  ÁLVARO WEYNE FORTALEZA - CE CEP:60335010,Católica Apostólica Romana,-3.712518,-38.560189,Álvaro Weyne,Álvaro Weyne,3
328,7852-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 865  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7448846,-38.5547846,Rodolfo Teófilo,Rodolfo Teófilo,34
329,51156-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 1022  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-3.739539,-38.52973799999999,José Bonifacio,José Bonifácio,23
330,51134-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 5  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7372716,-38.5352717,Benfica,Benfica,7
331,51145-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 21  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7373165,-38.535278,Benfica,Benfica,7
332,51135-8,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 7  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.737362699999999,-38.5351944,Benfica,Benfica,7
333,7847-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1464  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-3.7451271,-38.5546896,Rodolfo Teófilo,Rodolfo Teófilo,34
334,43901-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2015  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-3.7334031,-38.5412492,José Bonifacio,Farias Brito,15
335,51151-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 9  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7374272,-38.5351606,Benfica,Benfica,7
336,51138-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 26  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7375243,-38.535273,Benfica,Benfica,7
337,51152-8,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 24  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7374993,-38.5353026,Benfica,Benfica,7
338,51157-9,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 1017  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-3.7394754,-38.5293176,Benfica,José Bonifácio,23
339,51158-7,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 1015  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-3.7394754,-38.5293176,Benfica,José Bonifácio,23
340,7844-1,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1458  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-3.7452142,-38.5546198,Rodolfo Teófilo,Rodolfo Teófilo,34
341,43899-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2023  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-3.7333818,-38.5413478,José Bonifacio,Farias Brito,15
342,51147-1,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 9  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7374272,-38.5351606,Benfica,Benfica,7
343,51140-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 19  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7408924,-38.5253339,José Bonifacio,José Bonifácio,23
344,51161-7,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  SOLON PINHEIRO 1039  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050041,Católica Apostólica Romana,-3.739467,-38.529238,José Bonifacio,José Bonifácio,23
345,93162-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  VICENTE SABOIA 144  ÁLVARO WEYNE FORTALEZA - CE CEP:60335010,Católica Apostólica Romana,-3.7123373,-38.5602336,Cristo Redentor,Álvaro Weyne,3
346,7851-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 867  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.744958099999999,-38.554767,Rodolfo Teófilo,Rodolfo Teófilo,34
347,10553-8,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  TEODORETO SOUTO 1146  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430730,Católica Apostólica Romana,-3.7394319,-38.54524019999999,Rodolfo Teófilo,Rodolfo Teófilo,34
348,7853-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 851  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7448702,-38.5547739,Rodolfo Teófilo,Rodolfo Teófilo,34
349,51154-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 1033  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-3.739534799999999,-38.5290376,Benfica,José Bonifácio,23
350,7843-3,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1456  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-3.7452201,-38.5546201,Rodolfo Teófilo,Rodolfo Teófilo,34
351,43897-9,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2031  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-3.7330719,-38.5413125,Otávio Bonfim,Farias Brito,15
352,51144-7,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 23  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7374162,-38.53511110000001,Benfica,Benfica,7
353,7849-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 871  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7450271,-38.554832,Rodolfo Teófilo,Rodolfo Teófilo,34
354,7846-8,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1462  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-3.7451744,-38.55467460000001,Rodolfo Teófilo,Rodolfo Teófilo,34
355,7857-3,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 833  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7447806,-38.5546104,Rodolfo Teófilo,Rodolfo Teófilo,34
356,7858-1,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 829  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7446918,-38.5546116,Rodolfo Teófilo,Rodolfo Teófilo,34
357,51137-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 22  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.7374763,-38.5353305,Benfica,Benfica,7
358,71793-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JAIME BENEVOLO 51  CENTRO FORTALEZA - CE CEP:60050080,Católica Apostólica Romana,-3.7328575,-38.5253478,Centro,Centro,10
359,7850-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 869  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7449928,-38.554747,Rodolfo Teófilo,Rodolfo Teófilo,34
