inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
43901-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2015  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-37.334.031,-385.412.492,José Bonifacio,Farias Brito,15
51151-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 9  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.374.272,-385.351.606,Benfica,Benfica,7
51138-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 26  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.375.243,-38.535.273,Benfica,Benfica,7
51152-8,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 24  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.374.993,-385.353.026,Benfica,Benfica,7
51157-9,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 1017  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-37.394.754,-385.293.176,Benfica,José Bonifácio,23
51158-7,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 1015  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-37.394.754,-385.293.176,Benfica,José Bonifácio,23
7844-1,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1458  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-37.452.142,-385.546.198,Rodolfo Teófilo,Rodolfo Teófilo,34
43899-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2023  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-37.333.818,-385.413.478,José Bonifacio,Farias Brito,15
51147-1,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 9  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.374.272,-385.351.606,Benfica,Benfica,7
51140-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 19  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.408.924,-385.253.339,José Bonifacio,José Bonifácio,23
51161-7,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  SOLON PINHEIRO 1039  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050041,Católica Apostólica Romana,-3.739.467,-38.529.238,José Bonifacio,José Bonifácio,23
93162-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  VICENTE SABOIA 144  ÁLVARO WEYNE FORTALEZA - CE CEP:60335010,Católica Apostólica Romana,-37.123.373,-385.602.336,Cristo Redentor,Álvaro Weyne,3
7851-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 867  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.744.958.099.999.990,-38.554.767,Rodolfo Teófilo,Rodolfo Teófilo,34
10553-8,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  TEODORETO SOUTO 1146  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430730,Católica Apostólica Romana,-37.394.319,-3.854.524.019.999.990,Rodolfo Teófilo,Rodolfo Teófilo,34
7853-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 851  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-37.448.702,-385.547.739,Rodolfo Teófilo,Rodolfo Teófilo,34
51154-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 1033  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-3.739.534.799.999.990,-385.290.376,Benfica,José Bonifácio,23
7843-3,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1456  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-37.452.201,-385.546.201,Rodolfo Teófilo,Rodolfo Teófilo,34
43897-9,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2031  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-37.330.719,-385.413.125,Otávio Bonfim,Farias Brito,15
51144-7,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 23  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.374.162,-3.853.511.110.000.000,Benfica,Benfica,7
7849-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 871  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-37.450.271,-38.554.832,Rodolfo Teófilo,Rodolfo Teófilo,34
7846-8,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1462  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-37.451.744,-3.855.467.460.000.000,Rodolfo Teófilo,Rodolfo Teófilo,34
7857-3,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 833  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-37.447.806,-385.546.104,Rodolfo Teófilo,Rodolfo Teófilo,34
7858-1,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 829  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-37.446.918,-385.546.116,Rodolfo Teófilo,Rodolfo Teófilo,34
51137-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 22  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.374.763,-385.353.305,Benfica,Benfica,7
71793-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JAIME BENEVOLO 51  CENTRO FORTALEZA - CE CEP:60050080,Católica Apostólica Romana,-37.328.575,-385.253.478,Centro,Centro,10
7850-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 869  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-37.449.928,-38.554.747,Rodolfo Teófilo,Rodolfo Teófilo,34
51148-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 15  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.737.405,-385.351.244,Benfica,Benfica,7
43903-7,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2007  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-37.334.116,-385.411.739,José Bonifacio,Farias Brito,15
30119-1,CONSELHO PAROQUIAL NOSSA SENHORA DE FATIMA,R  MARIO MAMEDE 750  FÁTIMA FORTALEZA - CE CEP:60415000,Católica Apostólica Romana,-37.528.981,-385.269.777,Fátima,Fátima,16
378547-5,DIACONIA,R  PEDRO PEREIRA 460  303 CENTRO FORTALEZA - CE CEP:60035000,Católica Apostólica Romana,-3.729.298,-385.294.778,Centro,Centro,10
378546-7,DIACONIA,R  PEDRO PEREIRA 460  302 CENTRO FORTALEZA - CE CEP:60035000,Católica Apostólica Romana,-3.729.298,-385.294.778,Centro,Centro,10
77307-7,DIACONIA,R  PEDRO PEREIRA 460  301 CENTRO FORTALEZA - CE CEP:60035000,Católica Apostólica Romana,-3.729.298,-385.294.778,Centro,Centro,10
254236-6,DIOCESE DE TIANGUA,R  VITORIANO BORGES 387  SERRINHA FORTALEZA - CE CEP:60741370,Católica Apostólica Romana,-37.817.209,-385.513.626,Serrinha,Serrinha,107
403574-7,DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,R  HIL MORAES 130  EDSON QUEIROZ FORTALEZA - CE CEP:60811760,Evangélicas,-3.775.467,-38.476.712,Edson Queiroz,Edson Queiroz,57
204958-9,DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,R  MARIO DE ANDRADE 1225  BELA VISTA FORTALEZA - CE CEP:60442132,Evangélicas,-37.484.521,-385.642.745,Bela Vista,Bela Vista,94
343464-8,DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,AV ENG ALBERTO SA 80  PAPICU FORTALEZA - CE CEP:60175395,Evangélicas,-37.331.029,-384.822.203,Papicu,Papicu,27
493191-2,EMPREENDIMENTO EDUCACIONAL MARACANAU LTDA,R  CARNEIRO DA CUNHA 110  5-A JACARECANGA FORTALEZA - CE CEP:60010470,Sem Definição,-37.245.499,-385.413.508,Jacarecanga,Centro,10
45027-8,ESCOLA SAO RAFAEL 1 E 2 GRAUS,AV  DO IMPERADOR   SN FARIAS BRITO FORTALEZA - CE CEP:60015052,Católica Apostólica Romana,-37.356.638,-385.368.396,Farias Brito,Benfica,7
204174-0,ESPOLIO DE FRANCISCO PEREIRA DE ALMEIDA,R  MARIO DE ANDRADE   SN BELA VISTA FORTALEZA - CE CEP:60442132,Sem Definição,-37.498.125,-385.621.889,Bela Vista,Bela Vista,94
223614-1,ESPÓLIO DE THEODORO DE CASTRO MOURA,AV  OSCAR ARARIPE 3283  GRANJA LISBOA FORTALEZA - CE CEP:60540442,Evangélicas,-3.784.948,-38.619.855,Granja Lisboa,Granja Lisboa,78
67648-9,FEDERACAO ESPIRITA DO ESTADO DO CEARA FEEC,R PRC ISABEL 255  CENTRO FORTALEZA - CE CEP:60015060,Espírita,-37.231.784,-385.343.146,Centro,Centro,10
95690-2,FRANCILEIDE NASCIMENTO DE CASTRO,R  FILIPE CAMARAO 874  CRISTO REDENTOR FORTALEZA - CE CEP:60337620,Sem Definição,-3.708.632,-385.601.709,Cristo Redentor,Cristo Redentor,12
159966-6,FRANCISCA CARNEIRO DE SOUZA,R  ISAIE BORIS 336  MONTESE FORTALEZA - CE CEP:60410160,Evangélicas,-37.669.354,-385.483.867,Montese,Montese,103
404730-3,FRANCISCO DE ASSIS OLIVEIRA,TV  BENEDITO SOBRINHO 20  VILA PERY FORTALEZA - CE CEP:60000000,Evangélicas,-3.783.448.999.999.990,-38.580.292,Vila Peri,Vila Peri,108
163556-5,FRANCISCO SANDRO MARTINS,R  MATOS VASCONCELLOS 886  DAMAS FORTALEZA - CE CEP:60440018,Sem Definição,-3.753.324,-385.523,Damas,Damas,13
51749-6,FRATERNIDADE DA ORDEM FRANCISCANA SECULAR OFS,R BAR DE ARATANHA 499  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050071,Católica Apostólica Romana,-37.373.565,-385.276.255,José Bonifacio,José Bonifácio,23
431463-8,FUNDACAO BEZERRA DE MENEZES,AV MAJ ASSIS 2333  VILA VELHA FORTALEZA - CE CEP:60345631,Espírita,-37.205.874,-386.008.474,Vila Velha,Vila Velha,39
508813-5,GRUPO DE RENOVACAO ESPIRITUAL ALLAN KARDEK,R  JOSE LUCAS 952  MONDUBIM FORTALEZA - CE CEP:60760305,Espírita,-38.363.465,-385.636.242,Planalto Ayrton Senna,Planalto Ayrton Senna,115
500526-4,GRUPO ESPIRITA AVE LUZ,R  A (CJ NOVA FORTALEZA)   Q-06 L-26 JANGURUSSU FORTALEZA - CE CEP:60868858,Espírita,-38.352.441,-385.184.192,Jangurussu,Jangurussu,61
500527-2,GRUPO ESPIRITA AVE LUZ,R  A (CJ NOVA FORTALEZA) 1510  JANGURUSSU FORTALEZA - CE CEP:60868858,Espírita,-38.338.093,-385.235.912,Jangurussu,Jangurussu,61
257382-2,GRUPO ESPIRITA BEM-VINDO A CARIDADE,R  ROSA CRUZ 1033  PARTESDOSLOTES79E81 MARAPONGA FORTALEZA - CE CEP:60711735,Espírita,-3.796.853,-385.740.262,Maraponga,Maraponga,82
537153-8,GRUPO ESPIRITA HORIZONTES DA VIDA-GEHV,R  JOSE CAMELO 32  PARANGABA FORTALEZA - CE CEP:60740750,Espírita,-37.791.196,-385.558.546,Parangaba,Parangaba,105
22774-9,GRUPO ESPIRITA PAULO E ESTEVAO,TV PDE ANTONINO 451  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110480,Espírita,-37.442.771,-38.520.238,Joaquim Távora (Fortaleza),Joaquim Távora,22
262637-3,GRUPO ESPIRITA PAULO E ESTEVAO,R  LUIZA MIRANDA COELHO 743  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811110,Espírita,-3.773.943,-384.899.611,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
59024-0,GRUPO ESPIRITA RAIO DE SOL,AV  F (CONJ. PREF. JOSE WALTER) 421  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750050,Espírita,-38.357.103,-385.577.469,Prefeito José Walter,Prefeito José Walter,89
479068-5,I IGREJA BATISTA EM SAO CRISTOVAO,AV GOV LEONEL BRIZOLA 873  JANGURUSSU FORTALEZA - CE CEP:60866190,Evangélicas,-3.832.019,-385.254.094,Jangurussu,Jangurussu,61
425286-1,IGREJA ASSEMBLEIA DE DEUS MINISTERIO DEUS E FIEL,R  DA CARAUBA 58  JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60820350,Evangélicas,-37.818.061,-385.097.592,Jardim Das Oliveiras,Jardim das Oliveiras,62
456623-8,IGREJA ASSEMBLEIA DE DEUS MINISTERIO FILADELFIA,AV  20 DE JANEIRO 1740  BARRA DO CEARÁ FORTALEZA - CE CEP:60331200,Evangélicas,-37.052.549,-385.817.157,Barra do Ceará,Barra do Ceará,6
116531-3,IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,AV  C (CONJ. CEARA II) 535  CONJUNTO CEARÁ I FORTALEZA - CE CEP:60533613,Evangélicas,-37.695.286,-386.136.731,Conjunto Ceará II,Conjunto Ceará II,75
278461-0,IGREJA AVIVAMENTO PENTECOSTAL DA BIBLIA,R  TIBURCIO PEREIRA 614  CAJAZEIRAS FORTALEZA - CE CEP:60864260,Evangélicas,-37.991.802,-385.090.911,Cajazeiras,Cajazeiras,52
146538-4,IGREJA BATISTA AGAPE,R  DAMIAO FERNANDES 540  AMADEU FURTADO FORTALEZA - CE CEP:60455600,Evangélicas,-3.744.355,-38.560.213,Amadeu Furtado,Amadeu Furtado,4
643635-8,IGREJA BATISTA AGAPE,R PRO LINO ENCARNACAO 960  AMADEU FURTADO FORTALEZA - CE CEP:60455515,Evangélicas,-37.439.945,-385.602.233,Amadeu Furtado,Amadeu Furtado,4
276020-7,IGREJA BATISTA ALVORADA,R GAL CASTELO BRANCO 97  PARQUE MANIBURA FORTALEZA - CE CEP:60733680,Evangélicas,-3.791.092.899.999.990,-384.912.998,Cidade dos Funcionários,Parque Manibura,67
54232-6,IGREJA BATISTA ALVORADA,AV PDE ANTONIO TOMAS 2127  ALDEOTA FORTALEZA - CE CEP:60140155,Evangélicas,-37.420.835,-384.929.811,Aldeota,Aldeota,2
54233-4,IGREJA BATISTA ALVORADA,AV PDE ANTONIO TOMAS 2111  ALDEOTA FORTALEZA - CE CEP:60140155,Evangélicas,-37.420.323,-384.931.398,Aldeota,Aldeota,2
180271-2,IGREJA BATISTA BEREIANA,R CAP VASCONCELOS 347  ALTO DA BALANÇA FORTALEZA - CE CEP:60851225,Evangélicas,-3.765.209.899.999.990,-385.169.955,Alto da Balança,Alto da Balança,93
460927-1,IGREJA BATISTA CENTRAL DE FORTALEZA,R  DO CRUZEIRO 401  ANCURI FORTALEZA - CE CEP:60874230,Evangélicas,-38.683.475,-385.027.304,Ancuri,Ancuri,50
159807-4,IGREJA BATISTA DA FE,R IR BAZET 853  MONTESE FORTALEZA - CE CEP:60420670,Evangélicas,-3.765.609,-385.501.113,Montese,Montese,103
159829-5,IGREJA BATISTA DA FE,R  ALAN KARDEC 888  MONTESE FORTALEZA - CE CEP:60420630,Evangélicas,-37.652.135,-385.497.831,Montese,Montese,103
4290-0,IGREJA BATISTA DE MONTE CASTELO,R  JOSE CANDIDO 700  SÃO GERARDO FORTALEZA - CE CEP:60325490,Evangélicas,-37.311.394,-385.515.062,Monte Castelo,São Gerardo,1
231414-2,IGREJA BATISTA DE MONTESE,R BAR DE SOBRAL 147  MONTESE FORTALEZA - CE CEP:60420775,Evangélicas,-37.683.404,-385.518.201,Montese,Montese,103
182871-1,IGREJA BATISTA DE MUCURIPE,R  CORREGO DAS FLORES 73  VICENTE PINZON FORTALEZA - CE CEP:60175480,Evangélicas,-37.253.446,-38.479.925,Vicente Pinzon,Vicente Pinzón,37
8829-3,IGREJA BATISTA DE PORANGABUCU,R PAT SAMUEL MUNGUBA 732  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430375,Evangélicas,-37.461.733,-385.478.673,Rodolfo Teófilo,Rodolfo Teófilo,34
277471-2,IGREJA BATISTA DO CALVARIO DE FORTALEZA,R CON BRAVEZA 875  LT 08 QUA 34 CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60822815,Evangélicas,-3.798.073.699.999.990,-384.974.136,Cidade dos Funcionários,Cidade dos Funcionários,54
255255-8,IGREJA BATISTA DO CORDEIRO,R  BARBA ALARDO 565  SERRINHA FORTALEZA - CE CEP:60741040,Evangélicas,-3.781.244.999.999.990,-38.551.083,Serrinha,Serrinha,107
113836-7,IGREJA BATISTA EL SHADAI,R  327 (CONJ. CEARA II) 115  CONJUNTO CEARÁ II FORTALEZA - CE CEP:60530690,Evangélicas,-3.771.673.299.999.990,-386.131.372,Conjunto Ceará II,Conjunto Ceará II,75
165508-6,IGREJA BATISTA EMANUEL,R  NEREU RAMOS 880  PARANGABA FORTALEZA - CE CEP:60721110,Evangélicas,-37.836.865,-3.857.441.439.999.990,Vila Peri,Parangaba,105
390237-4,IGREJA BATISTA ESPERANCA,R  106 (CONJ.ESPERANCA) 226  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763550,Evangélicas,-38.130.984,-385.906.048,Conjunto Esperança,Conjunto Esperança,76
283547-9,IGREJA BATISTA INDEPENDENTE,R  JOSE PEDRA 1435  PARQUE DOIS IRMÃOS FORTALEZA - CE CEP:60743246,Evangélicas,-3.800.404,-3.855.094.800.000.000,Parque Dois Irmãos,Parque Dois Irmãos,84
88465-0,IGREJA BATISTA LUZ DO MUNDO,R  A (LOTEAMENTO COLINA) 75  DE LOURDES FORTALEZA - CE CEP:60177450,Evangélicas,-37.554.052,-384.551.518,Manuel Dias Branco,Manuel Dias Branco,112
88466-9,IGREJA BATISTA LUZ DO MUNDO,R  A (LOTEAMENTO COLINA) 53  Q002_L014 DE LOURDES FORTALEZA - CE CEP:60177450,Evangélicas,-37.554.052,-384.551.518,Manuel Dias Branco,Manuel Dias Branco,112
52440-9,IGREJA BATISTA MANANCIAL,AV DES MOREIRA 2669  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,Evangélicas,-37.491.021,-385.021.967,Dionísio Torres,Dionísio Torres,14
99480-4,IGREJA BATISTA MARANATA DE FORTALEZA,AV  DAS GRAVIOLAS 240  CIDADE 2000 FORTALEZA - CE CEP:60190600,Evangélicas,-37.536.415,-384.719.526,Cidade 2000,Cidade 2000,111
40008-4,IGREJA BATISTA MEMORIAL DE FORTALEZA,R CAP MELO 3720  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60120095,Evangélicas,-37.550.783,-385.134.164,São João do Tauape,Tauape,35
262348-0,IGREJA BATISTA REGULAR FILADELFIA,R REV BOLIVAR PINTO BANDEIRA 107  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811310,Evangélicas,-37.711.911,-38.492.221,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
262347-1,IGREJA BATISTA REGULAR FILADELFIA,R REV BOLIVAR PINTO BANDEIRA 119  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811310,Evangélicas,-37.709.762,-384.920.142,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
606889-8,IGREJA BATISTA REGULAR JORDAO,"R  OLIVEIRA LEMOS 829 LOTE 34,35,36Q2 SÃO BENTO FORTALEZA - CE CEP:60875555",Evangélicas,-38.533.164,-384.823.663,São Bento,São Bento,118
143867-0,IGREJA BATISTA RESTAURACAO,R  CHASTINET GUIMARAES 329  VILA ELLERY FORTALEZA - CE CEP:60320275,Evangélicas,-3.723.729,-3.856.541.199.999.990,Bairro Ellery,Ellery,38
630868-6,IGREJA BATISTA RIO JORDAO,R  RIO JORDAO 171  JANGURUSSU FORTALEZA - CE CEP:60870730,Evangélicas,-38.478.228,-385.048.128,Jangurussu,Jangurussu,61
885136-0,IGREJA BETESDA DO CEARÁ,R CAP GUSTAVO 3552 SALA 01 JOAQUIM TÁVORA FORTALEZA - CE CEP:60120140,Evangélicas,-37.524.575,-385.176.727,Joaquim Távora (Fortaleza),Joaquim Távora,22
34024-3,IGREJA BETESDA DO CEARÁ,R CAP GUSTAVO 3552  JOAQUIM TÁVORA FORTALEZA - CE CEP:60120140,Evangélicas,-37.524.575,-385.176.727,Joaquim Távora (Fortaleza),Joaquim Távora,22
36686-2,IGREJA BETESDA DO CEARÁ,AV  DOS FLAMBOYANTS   Q035 L021 COCÓ FORTALEZA - CE CEP:60190570,Evangélicas,-37.501.152,-384.754.655,Não identificado,Cidade 2000,111
885137-9,IGREJA BETESDA DO CEARÁ,R CAP GUSTAVO 3552 SALA 02 JOAQUIM TÁVORA FORTALEZA - CE CEP:60120140,Evangélicas,-37.524.575,-385.176.727,Joaquim Távora (Fortaleza),Joaquim Távora,22
36687-0,IGREJA BETESDA DO CEARÁ,AV  DOS FLAMBOYANTS   L022 Q035 COCÓ FORTALEZA - CE CEP:60190570,Evangélicas,-37.501.152,-384.754.655,Não identificado,Cidade 2000,111
231511-4,IGREJA BETESDA DO CEARÁ,R  ROMEU MARTINS 267  MONTESE FORTALEZA - CE CEP:60420720,Evangélicas,-37.639.525,-385.556.782,Montese,Montese,103
709120-6,IGREJA BETESDA DO CEARÁ,R  S LOT EXPEDICIONARIOS II   Q016_L001 MONDUBIM FORTALEZA - CE CEP:60761795,Evangélicas,-3.808.235.799.999.990,-385.574.297,Mondubim,Mondubim,83
132257-5,IGREJA BETESDA DO CEARÁ,R  DUAS NACOES 904  GRANJA PORTUGAL FORTALEZA - CE CEP:60545242,Evangélicas,-37.789.465,-38.602.655,Granja Portugal,Granja Portugal,79
726007-5,IGREJA BETESDA DO CEARÁ,R CAP GUSTAVO 3552  A JOAQUIM TÁVORA FORTALEZA - CE CEP:60120140,Evangélicas,-37.524.575,-385.176.727,Joaquim Távora (Fortaleza),Joaquim Távora,22
267241-3,IGREJA BIBLICA BATISTA DO PLANALTO,R DR JOSE MARTINS RODRIGUES 155  EDSON QUEIROZ FORTALEZA - CE CEP:60811520,Evangélicas,-37.593.156,-384.816.659,Edson Queiroz,Edson Queiroz,57
157596-1,IGREJA BIBLICA DO SITIO BOATAN,R  RAIMUNDO PINHEIRO BASTOS 333  QUINTINO CUNHA FORTALEZA - CE CEP:60350740,Evangélicas,-37.302.982,-385.873.519,Quintino Cunha,Olavo Oliveira,119
940117-2,IGREJA BIBLICA HERDEIROS DE DEUS,R  A RES JACIARA MUTIRAO 90  BARRA DO CEARÁ FORTALEZA - CE CEP:60000000,Sem Definição,-37.117.228,-38.582,Barra do Ceará,Barra do Ceará,6
207109-6,IGREJA BIBLICA SANTA FE,R  CANDIDO HOLANDA 65  PARANGABA FORTALEZA - CE CEP:60720360,Sem Definição,-37.721.522,-3.856.993.689.999.990,Parangaba,Parangaba,105
296936-0,IGREJA CONGREGACIONAL PENTECOSTAL,R  ROSA PEREIRA 30  SALA PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60760080,Evangélicas,-38.356.926,-385.615.974,Prefeito José Walter,Prefeito José Walter,89
250331-0,IGREJA CRISTA EVANGELICA EBENEZER,R CON DE CASTRO 3009  MANOEL SÁTIRO FORTALEZA - CE CEP:60713305,Evangélicas,-37.951.984,-385.825.339,Vila Peri,Manoel Sátiro,81
99861-3,IGREJA CRISTA EVANGELICA EMANUEL,AL  DAS CHANANAS 298  CIDADE 2000 FORTALEZA - CE CEP:60190300,Evangélicas,-3.750.934,-3.847.243,Cid Dois Mil,Cidade 2000,111
63815-3,IGREJA CRISTA EVANGELICA FORTALECENSE,AV MON TABOSA 575  PRAIA DE IRACEMA FORTALEZA - CE CEP:60165011,Evangélicas,-37.237.253,-385.141.837,Centro,Praia de Iracema,32
670486-7,IGREJA CRISTA GILEADE PARANGABA,R  GUILHERME PERDIGAO 175  PARANGABA FORTALEZA - CE CEP:60720420,Evangélicas,-37.746.982,-385.714.616,Parangaba,Parangaba,105
709914-2,IGREJA CRISTA GILEADE PARANGABA,R  GUILHERME PERDIGAO 231  PARANGABA FORTALEZA - CE CEP:60720420,Evangélicas,-37.746.388,-385.716.872,Parangaba,Parangaba,105
50051-8,IGREJA CRISTA MARANATA PRESBITERIO ESP SANTENSE,R  JOAQUIM MAGALHAES 1220  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Evangélicas,-37.402.527,-385.274.614,Benfica,José Bonifácio,23
415007-4,IGREJA CRISTA REI DOS REIS ICRR,AV MON CARNEIRO DA CUNHA 160  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811290,Sem Definição,-37.747.701,-384.951.143,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
331208-9,IGREJA DE CRISTO NA MARAPONGA,AV  BENJAMIM BRASIL 1137  Q00A MONDUBIM FORTALEZA - CE CEP:60711442,Evangélicas,-3.805.614,-38.564.513,Mondubim,Mondubim,83
79846-0,IGREJA DE CRISTO NO CENTRO,R COM LUIS RIBEIRO   SN-2 JACARECANGA FORTALEZA - CE CEP:60326330,Sem Definição,-3.721.996.599.999.990,-385.486.655,Jacarecanga,Jacarecanga,18
9298-3,IGREJA DE CRISTO NO PARQUE ARAXA,R FRE MARCELINO 416  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431004,Evangélicas,-37.406.669,-385.500.703,Rodolfo Teófilo,Rodolfo Teófilo,34
545713-0,IGREJA DE CRISTO NO PARQUE ARAXA,R COM LUIS RIBEIRO 239  JACARECANGA FORTALEZA - CE CEP:60326330,Evangélicas,-37.220.521,-3.854.862.019.999.990,Jacarecanga,Jacarecanga,18
9296-7,IGREJA DE CRISTO NO PARQUE ARAXA,R FRE MARCELINO 410  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431004,Evangélicas,-37.405.739,-385.500.293,Rodolfo Teófilo,Rodolfo Teófilo,34
9297-5,IGREJA DE CRISTO NO PARQUE ARAXA,R FRE MARCELINO 410  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431004,Evangélicas,-37.405.739,-385.500.293,Rodolfo Teófilo,Rodolfo Teófilo,34
