,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
73,73,63468-9,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 3  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-37.240.253,-385.194.377,Centro,Centro,10
74,74,44361-1,ARQUIDIOCESE DE FORTALEZA,R DOM JERONIMO   S/N FARIAS BRITO FORTALEZA - CE CEP:60011170,Católica Apostólica Romana,-373.509,-385.430.832,Farias Brito,Farias Brito,15
75,75,60512-3,ARQUIDIOCESE DE FORTALEZA,AV  C (CONJ. PREF. JOSE WALTER) 435  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750020,Católica Apostólica Romana,-38.287.325,-385.558.816,Prefeito José Walter,Prefeito José Walter,89
76,76,73115-3,ARQUIDIOCESE DE FORTALEZA,R CEL FERRAZ 120  CENTRO FORTALEZA - CE CEP:60060150,Católica Apostólica Romana,-3.727.761.099.999.990,-385.233.383,Centro,Centro,10
77,77,67423-0,ARQUIDIOCESE DE FORTALEZA,R  GUILHERME ROCHA 1564  CENTRO FORTALEZA - CE CEP:60030141,Católica Apostólica Romana,-37.229.364,-385.397.628,Centro,Centro,10
78,78,65204-0,ARQUIDIOCESE DE FORTALEZA,AV ALM BARROSO 1011  PRAIA DE IRACEMA FORTALEZA - CE CEP:60060440,Católica Apostólica Romana,-37.199.229,-385.138.807,Praia de Iracema,Praia de Iracema,32
79,79,137208-4,ARQUIDIOCESE DE FORTALEZA,AV  OLAVO BILAC 1364  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60320000,Católica Apostólica Romana,-37.328.526,-3.856.476.960.000.000,Álvaro Weyne,Presidente Kennedy,33
80,80,39136-0,ARQUIDIOCESE DE FORTALEZA,R MON SALAZAR 342  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130370,Católica Apostólica Romana,-37.564.853,-385.166.858,São João do Tauape,Tauape,35
81,81,45338-2,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 1896  BENFICA FORTALEZA - CE CEP:60020180,Católica Apostólica Romana,-3.734.638.899.999.990,-385.341.505,Benfica,Benfica,7
82,82,78242-4,ARQUIDIOCESE DE FORTALEZA,R  GUILHERME ROCHA   SN-2 CENTRO FORTALEZA - CE CEP:60030140,Católica Apostólica Romana,-3.726.534,-385.294.422,Centro,Centro,10
