,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
216,218,24566-6,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  JOAO CORDEIRO 2325  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Católica Apostólica Romana,-3.7407883,-38.5180523,Aldeota,Joaquim Távora,22
217,219,24592-5,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  ANTONIO AUGUSTO 2346  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110533,Católica Apostólica Romana,-3.7412283,-38.5171927,Aldeota,Joaquim Távora,22
218,220,24565-8,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  JOAO CORDEIRO 2331  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Católica Apostólica Romana,-3.741009,-38.517963,Joaquim Távora (Fortaleza),Joaquim Távora,22
219,221,20456-0,BANCO BRADESCO S.A.,Pç  PORTUGAL 44  ALDEOTA FORTALEZA - CE CEP:60170010,Sem Definição,-3.7333009,-38.4980602,Aldeota,Aldeota,2
221,223,35674-3,BETHFAGE COMUNIDADE EVANGELICA,R  JOAQUIM NABUCO 2627  DIONÍSIO TORRES FORTALEZA - CE CEP:60125121,Evangélicas,-3.7482502,-38.5051526,Dionísio Torres,Dionísio Torres,14
222,224,288485-2,CARMELO SANTA TEREZINHA,AV  ALBERTO CRAVEIRO 1680  BOA VISTA/CASTELÃO FORTALEZA - CE CEP:60861212,Católica Apostólica Romana,-3.7945667,-38.5182035,Dias Macedo,Boa Vista/Castelão,95
226,228,45827-9,CASA DOS PADRES SACRAMENTINO,R GAL CLARINDO DE QUEIROZ 1231  CENTRO FORTALEZA - CE CEP:60035130,Católica Apostólica Romana,-3.7312987,-38.5350414,Centro,Centro,10
227,229,207171-1,CASAS FRATERNAIS O NAZARENO,R  GUILHERME PERDIGAO 89  PARANGABA FORTALEZA - CE CEP:60720420,Sem Definição,-3.7745212,-38.5707585,Parangaba,Parangaba,105
228,230,97698-9,CENTRO COMUNITARIO CRISTO REDENTOR,R  CURA DARS 21  CRISTO REDENTOR FORTALEZA - CE CEP:60311010,Católica Apostólica Romana,-3.7067297,-38.5576292,Cristo Redentor,Cristo Redentor,12
229,231,93551-4,CENTRO COMUNITARIO CRISTO REDENTOR,R  GOMES PASSOS 740  ÁLVARO WEYNE FORTALEZA - CE CEP:60335060,Católica Apostólica Romana,-3.7103858,-38.5630433,Cristo Redentor,Álvaro Weyne,3
234,236,749-8,CENTRO ESPIRITA BEZERRA DE MENEZES,R DOM MANUEL DE MEDEIROS 927  PARQUE ARAXÁ FORTALEZA - CE CEP:60450605,Espírita,-3.7368615,-38.5521831,Parque Araxá,Parque Araxá,28
235,237,236785-8,CENTRO ESPIRITA CAMILLE FLAMMARION,R  HUGO VITOR 670  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360820,Espírita,-3.7456582,-38.5909157,Antônio Bezerra,Antônio Bezerra,40
237,239,42232-0,CENTRO ESPÍRITA FRANCISCO DE ASSIS,R SEN CATUNDA 117  BENFICA FORTALEZA - CE CEP:60015320,Espírita,-3.7399332,-38.5365063,Benfica,Benfica,7
238,240,284006-5,CENTRO ESPIRITA JESUS DE NAZARE,AV PRS COSTA E SILVA 5255  PASSARÉ FORTALEZA - CE CEP:60862515,Espírita,-3.827709,-38.5333,Mondubim,Passaré,88
239,241,80761-3,CENTRO ESPIRITA JOAO BATISTA,R  AMETISTA 482  CARLITO PAMPLONA FORTALEZA - CE CEP:60310053,Espírita,-3.721538799999999,-38.5530746,Carlito Pamplona,Carlito Pamplona,9
240,242,149771-5,CENTRO ESPIRITA JOAO O EVANGELISTA,R  AMADEU FURTADO 78  PARQUELÂNDIA FORTALEZA - CE CEP:60450135,Espírita,-3.7364521,-38.5640585,Parquelândia,Parquelândia,29
243,245,64515-0,CENTRO ESPIRITA PEDRO O APOSTOLO DE JESUS,R  DOS ARARIUS 245  PRAIA DE IRACEMA FORTALEZA - CE CEP:60060320,Espírita,-3.722172799999999,-38.5138348,Praia de Iracema,Praia de Iracema,32
244,246,26520-9,CENTRO JUVENIL DOM BOSCO,R  VICENTE SPINDOLA 39  VILA UNIÃO FORTALEZA - CE CEP:60420211,Católica Apostólica Romana,-3.7691462,-38.5386639,Montese,Vila União,109
245,247,128223-9,CHILDFUND BRASIL,R  ALBERTO FERREIRA 564  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,Sem Definição,-3.722116,-38.5834361,Jardim Iracema,Jardim Iracema,21
246,248,44459-6,CIRCULO DE TRAB. CRIST. DE OTAVIO BONFIM,R  CARLOS SEVERO 171  FARIAS BRITO FORTALEZA - CE CEP:60011100,Sem Definição,-3.732496,-38.5415923,Farias Brito,Farias Brito,15
247,249,54884-7,COLEGIO BATISTA SANTOS DUMONT,R DES LEITE ALBUQUERQUE 1080  ALDEOTA FORTALEZA - CE CEP:60150150,Evangélicas,-3.7392087,-38.49302,Aldeota,Aldeota,2
248,250,225967-2,COLEGIO IRMA MARIA MONTENEGRO CIMM,R  RUI MONTE 331  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360640,Católica Apostólica Romana,-3.7421485,-38.5872581,Antônio Bezerra,Antônio Bezerra,40
249,251,260193-1,COLEGIO SANTO INACIO,R PDE FRANCISCO PITA 1392  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60821050,Católica Apostólica Romana,-3.7839862,-38.4932618,Jardim Das Oliveiras,Engenheiro Luciano Cavalcante,58
250,252,426169-0,COMBONIANOS NORDESTE,R  MATOS VASCONCELLOS 1591  BELA VISTA FORTALEZA - CE CEP:60442103,Católica Apostólica Romana,-3.7573071,-38.5558594,Damas,Bela Vista,94
280,282,301559-9,CONGREGACAO DAS FILHAS DE SANTA TERESA DE JESUS,R MAD ANA COUTO 147  MESSEJANA FORTALEZA - CE CEP:60842390,Católica Apostólica Romana,-3.8177303,-38.4993343,Messejana,Messejana,65
281,283,70731-7,CONGREGAÇÃO DAS FILHAS DO CORAÇÃO IMACULADO DE MARIA,R COS TRISTAO 73  CENTRO FORTALEZA - CE CEP:60050100,Católica Apostólica Romana,-3.7350783,-38.5251914,Centro,Centro,10
282,284,8328-3,CONGREGACAO DAS IRMANZINHAS DA IMACULADA CONCEICAO,R MAJ WEYNE 1624  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450,Sem Definição,-3.7409708,-38.5527056,Rodolfo Teófilo,Rodolfo Teófilo,34
285,288,397225-9,CONGREGACAO DAS IRMAS MISSIONARIAS DA IMACULADA CONCEICAO,AV PRO JOSE ARTHUR DE CARVALHO 1250  LAGOA REDONDA FORTALEZA - CE CEP:60831370,Católica Apostólica Romana,-3.827445099999999,-38.4684728,Lagoa Redonda,Lagoa Redonda,63
286,289,20735-7,CONGREGACAO DAS MISSIONARIAS REPARADORAS DO C DE JESUS,R MON BRUNO 751  MEIRELES FORTALEZA - CE CEP:60115190,Católica Apostólica Romana,-3.7290783,-38.5082908,Meireles,Meireles,24
287,290,208994-7,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,R  RIO GRANDE DO SUL 1728  JÓQUEI CLUBE FORTALEZA - CE CEP:60440214,Católica Apostólica Romana,-3.76317,-38.57032,Jóquei Clube,Jóquei Clube,101
288,291,208903-3,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,R  RIO GRANDE DO SUL 1837  JÓQUEI CLUBE FORTALEZA - CE CEP:60440214,Católica Apostólica Romana,-3.7640585,-38.5708084,Jóquei Clube,Jóquei Clube,101
289,292,209011-2,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,R  RIO GRANDE DO SUL 142  JÓQUEI CLUBE FORTALEZA - CE CEP:60441145,Católica Apostólica Romana,-3.7502982,-38.5619472,Bela Vista,Bela Vista,94
290,293,150090-2,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,R  SILVIO ROMERO 370  FLORESTA FORTALEZA - CE CEP:60336100,Católica Apostólica Romana,-3.7212726,-38.5718317,Álvaro Weyne,Floresta,17
291,294,150091-0,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,R  SILVIO ROMERO 370  FLORESTA FORTALEZA - CE CEP:60336100,Católica Apostólica Romana,-3.7212726,-38.5718317,Álvaro Weyne,Floresta,17
292,295,142768-7,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,AV DR THEBERGE 2288  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60355000,Católica Apostólica Romana,-3.724536,-38.56881630000001,Presidente Kennedy,Presidente Kennedy,33
293,296,13160-1,CONGREGACAO EVANGELICA LUTERANA ESPERANNCA,R  CARLOS CAMARA 1638  DAMAS FORTALEZA - CE CEP:60425810,Evangélicas,-3.7498343,-38.5458445,Benfica,Damas,13
294,297,551007-4,CONGREGACAO FILHAS DE SANTA ANA,R PDE PEDRO DE ALENCAR 781  MESSEJANA FORTALEZA - CE CEP:60840282,Católica Apostólica Romana,-3.8344484,-38.4938722,Messejana,Messejana,65
299,302,30457-3,CONSELHO CENTRAL DE FORTALEZA DA SOC DE S VICENTE DE PAULO,R DOM EXPEDITO LOPES 2104  DIONÍSIO TORRES FORTALEZA - CE CEP:60764000,Católica Apostólica Romana,-3.743853,-38.5052843,Joaquim Távora (Fortaleza),Dionísio Torres,14
300,303,128877-6,CONSELHO COMUNITARIO JARDIM GUANABARA,R  CARLOS WALRAVEN 367  JARDIM GUANABARA FORTALEZA - CE CEP:60346672,Católica Apostólica Romana,-3.719938299999999,-38.59214900000001,Jardim Guanabara,Jardim Guanabara,20
301,304,328490-5,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,AV DOM LUIS 350  ALDEOTA FORTALEZA - CE CEP:60160196,Católica Apostólica Romana,-3.7332031,-38.4981623,Meireles,Aldeota,2
302,305,451723-7,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,R VIS DE MAUA 415  ALDEOTA FORTALEZA - CE CEP:60125160,Católica Apostólica Romana,-3.728871,-38.4968429,Meireles,Meireles,24
303,306,489390-5,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,AV DOM LUIS 348  ALDEOTA FORTALEZA - CE CEP:60160196,Católica Apostólica Romana,-3.7330991,-38.498287,Meireles,Aldeota,2
304,307,455014-5,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,R VIS DE MAUA 823  ALDEOTA FORTALEZA - CE CEP:60125058,Católica Apostólica Romana,-3.7331676,-38.4983853,Meireles,Aldeota,2
305,308,489389-1,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,AV DOM LUIS 334  ALDEOTA FORTALEZA - CE CEP:60160196,Católica Apostólica Romana,-3.7331031,-38.4983602,Meireles,Aldeota,2
306,309,7856-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 839  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7447644,-38.5546778,Rodolfo Teófilo,Rodolfo Teófilo,34
307,310,51159-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  SOLON PINHEIRO 1045  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050041,Católica Apostólica Romana,-3.739496999999999,-38.5293262,Centro,José Bonifácio,23
308,311,14927-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  GRIJALVA COSTA 113  JARDIM AMÉRICA FORTALEZA - CE CEP:60410437,Católica Apostólica Romana,-3.7514147,-38.5409903,Jardim América,Jardim América,19
