,razao_social/Contribuinte,Estabelecimentos,Inscricoes_SEFIN,base_origem
106,PROVINCIA DE FORTALEZA DA CONGREGACAO DA MISSAO,1.0,1.0,Base_Tratada
107,PROVINCIA CAMILIANA BRASILEIRA,1.0,1.0,Base_Tratada
108,PRIMEIRA IGREJA BATISTA EM JOSE WALTER,1.0,1.0,Base_Tratada
110,PRIMEIRA IGREJA BATISTA EM JANGURUSSU,1.0,1.0,Base_Tratada
114,PAROQUIA DE SAO PEDRO E SAO PAULO,1.0,1.0,Base_Tratada
116,MISSAO BATISTA CONSERVADORA DO BRASIL,1.0,1.0,Brasil IO
119,LEGIAO ESPIRITA FEMININA,1.0,1.0,Brasil IO
120,LEGIAO DE NOSSA SENHORA RAINHA DOS CORACOES,1.0,1.0,Base_Tratada
121,LECTORIUM ROSICRUCIANUM,1.0,1.0,Base_Tratada
122,LAR DA CRIANCA DOMINGOS SAVIO,1.0,1.0,Brasil IO
126,CHILDFUND BRASIL,1.0,1.0,Brasil IO
128,COLEGIO SANTO INACIO,1.0,1.0,Brasil IO
129,COMUNIDADE CATOLICA MISSIONARIA UM NOVO CAMINHO,1.0,1.0,Base_Tratada
131,I IGREJA BATISTA EM SAO CRISTOVAO,1.0,1.0,Base_Tratada
133,COMUNIDADE CATOLICA VEU DE MARIA PARA JESUS,1.0,1.0,Base_Tratada
134,GRUPO ESPIRITA HORIZONTES DA VIDA-GEHV,1.0,1.0,Base_Tratada
135,GRUPO ESPIRITA BEM-VINDO A CARIDADE,1.0,1.0,Base_Tratada
136,COMUNIDADE CRISTA PEDRA ANGULAR,1.0,1.0,Base_Tratada
137,GRUPO DE RENOVACAO ESPIRITUAL ALLAN KARDEK,1.0,1.0,Base_Tratada
138,FRATERNIDADE DA ORDEM FRANCISCANA SECULAR OFS,1.0,1.0,Base_Tratada
139,COMUNIDADE EVANGELICA VERDADEIROS ADORADORES,1.0,1.0,Base_Tratada
141,ESCOLA SAO RAFAEL 1 E 2 GRAUS,1.0,1.0,Base_Tratada
145,CONSELHO PAROQUIAL NOSSA SENHORA DE FATIMA,1.0,1.0,Base_Tratada
147,CONFERENCIA DOS RELIGIOSOS DO BRASIL,1.0,1.0,Base_Tratada
148,CONSELHO COMUNITARIO JARDIM GUANABARA,1.0,1.0,Brasil IO
153,CONGREGACAO DAS IRMAS DOS ANJOS,1.0,1.0,Base_Tratada
155,IGREJA BATISTA CENTRAL DE FORTALEZA,1.0,1.0,Base_Tratada
156,CONGREGACAO DAS IRMAS DE SANTA ELISABETE,1.0,1.0,Base_Tratada
157,CENTRO ESPIRITA PEDRO O APOSTOLO DE JESUS,1.0,1.0,Brasil IO
158,IGREJA DE CRISTO NO CENTRO,1.0,1.0,Base_Tratada
159,IGREJA DE CRISTO NA MARAPONGA,1.0,1.0,Base_Tratada
160,IGREJA CRISTA REI DOS REIS ICRR,1.0,1.0,Base_Tratada
162,IGREJA CRISTA EVANGELICA FORTALECENSE,1.0,1.0,Base_Tratada
163,ASSOCIACAO ESCOLA DA BIBLIA,1.0,1.0,Brasil IO
166,IGREJA BIBLICA SANTA FE,1.0,1.0,Brasil IO
167,IGREJA BIBLICA HERDEIROS DE DEUS,1.0,1.0,Base_Tratada
168,IGREJA BIBLICA BATISTA DO PLANALTO,1.0,1.0,Base_Tratada
170,IGREJA BATISTA REGULAR JORDAO,1.0,1.0,Base_Tratada
172,IGREJA BATISTA MEMORIAL DE FORTALEZA,1.0,1.0,Base_Tratada
173,IGREJA BATISTA MARANATA DE FORTALEZA,1.0,1.0,Base_Tratada
174,CASAS FRATERNAIS O NAZARENO,1.0,1.0,Receita
175,CENTRO DE APOIO AO DESENVOLVIMENTO ESPIRITUAL,1.0,1.0,Base_Tratada
176,CENTRO DE EDUCACAO TECNICA E CULTURAL,1.0,1.0,Base_Tratada
177,CENTRO ESPIRITA A SAMARITANA,1.0,1.0,Base_Tratada
178,CENTRO ESPIRITA ANTONIO ALVES DE LINHARES,1.0,1.0,Base_Tratada
179,CENTRO ESPIRITA LAR DA DIVINA LUZ,1.0,1.0,Base_Tratada
180,IGREJA BATISTA DO CALVARIO DE FORTALEZA,1.0,1.0,Base_Tratada
181,IGREJA BATISTA DE PORANGABUCU,1.0,1.0,Brasil IO
182,IGREJA BATISTA DE MUCURIPE,1.0,1.0,Base_Tratada
183,IGREJA BATISTA DE MONTESE,1.0,1.0,Base_Tratada
186,LAYLLA PRISCILLA MOREIRA DE LIMA,1.0,1.0,Brasil IO
